video_id,first_trending_ts,views_day1,likes_day1,dislikes_day1,comments_day1,likes_ratio,comments_ratio,days_trending(target),category_name_Autos & Vehicles,category_name_Comedy,category_name_Education,category_name_Entertainment,category_name_Film & Animation,category_name_Gaming,category_name_Howto & Style,category_name_Music,category_name_News & Politics,category_name_Nonprofits & Activism,category_name_People & Blogs,category_name_Pets & Animals,category_name_Science & Technology,category_name_Shows,category_name_Sports,category_name_Travel & Events
-KB5QbOS4s4,2018-02-27,735146,21346,699,2466,0.9682921297346336,0.0033544357175309,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-L4RYm9Tq7I,2018-02-12,113435,3795,108,1442,0.9723289777094544,0.0127121258870718,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-NEhvlJA5q8,2018-02-02,310910,1205,418,3093,0.7424522489217499,0.0099482165256826,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-NIP2zgVsRY,2018-04-01,566146,18104,300,3568,0.9836991958269942,0.0063022612541641,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-NcG4L0pwvE,2018-03-15,345365,18058,397,4414,0.9784882145759956,0.0127806813081812,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-OK9i1_YYYc,2017-11-14,45455,2282,35,17,0.9848942598187312,0.0003739962600373,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-Q5pHm2Cfq4,2018-01-18,83525,489,21,41,0.9588235294117649,0.0004908709967075,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-QPdRfqTnt4,2018-06-14,4427381,96391,5508,12726,0.9459464764129186,0.0028743855566078,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-QR-TB_k20M,2018-03-01,23877,93,30,20,0.7560975609756098,0.0008376261674414,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-Qv6p6pTz5I,2018-04-06,3358174,132789,1473,9050,0.98902891361666,0.0026949169399798,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-QxZv_wJ1aA,2017-12-14,98042,5112,26,370,0.9949396652393928,0.0037738928214438,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-R9F2_D76TE,2018-03-24,251579,7468,216,993,0.9718896408120772,0.0039470703039601,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-RUbNqpwOt8,2017-12-16,1128702,36287,1768,3424,0.9535409276047826,0.0030335730777477,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-RmUADCWI4A,2017-12-06,8643326,299731,5168,23303,0.983050124795424,0.0026960686198808,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-SIp6xSP7ds,2017-11-22,212414,846,266,1029,0.7607913669064749,0.004844313463331,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-SJywvgaJEI,2018-05-04,720476,91593,692,17808,0.9925014899496126,0.0247169926548559,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-TQpVg4vcrk,2017-12-20,152544,9773,61,823,0.9937970307097824,0.005395164673799,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-V1Oo7srGf0,2018-02-01,60262,4804,122,736,0.975233455136013,0.0122133351033818,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-VgOGzBcMIg,2018-06-02,155387,6153,576,666,0.9144003566651806,0.004286072837496,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-W6v2_0evUU,2017-12-16,448615,18077,1545,1240,0.9212618489450616,0.0027640627263912,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-WRcZ9xHMuE,2018-02-26,643051,7736,490,1637,0.9404327741308048,0.0025456767814683,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-WedqN1iYbM,2018-02-03,33918,524,10,55,0.9812734082397004,0.0016215578748746,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-YRlVB6Qgug,2018-02-10,226101,9197,149,250,0.9840573507382836,0.0011057005497543,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-_jlqATo9eo,2018-02-15,3741,59,13,9,0.8194444444444444,0.0024057738572574,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-a12nTEcoqE,2018-01-12,192909,2343,484,717,0.8287937743190662,0.0037167783773696,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-cQoGwpDBPs,2018-02-05,3438,18,0,0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-gfGtIHfU7A,2017-12-04,261506,8522,228,508,0.9739428571428572,0.0019425940513793,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-hI5Ds3IgVM,2018-05-01,799107,44241,514,2405,0.9885152496927716,0.0030096094765782,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-hg_VRwS5RI,2018-02-19,110470,7366,69,1247,0.990719569603228,0.0112881325246673,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-kETYvHON_I,2018-01-19,278088,12068,521,1143,0.9586146635952022,0.0041102097177871,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-knTMViJqMU,2018-02-24,23976,887,101,307,0.8977732793522267,0.0128044711378044,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-l7TOYJZBtI,2018-05-01,709569,36120,217,3464,0.9940281256020036,0.0048818367206008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-lgcAySBbTA,2018-04-28,1331385,61269,446,2354,0.9927732317912988,0.0017680836121782,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-m3L9lA5_tA,2018-01-23,37190,51,3,8,0.9444444444444444,0.0002151115891368,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-mvfLtZTe3Q,2018-01-15,98748,316,42,120,0.88268156424581,0.0012152144853566,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
