video_id,first_trending_ts,views_day1,likes_day1,dislikes_day1,comments_day1,likes_ratio,comments_ratio,category_name,days_trending(target)
4FgV0yBZG6E,2017-11-29,30244,2178,41,213,0.9815232086525462,0.007042719217034784,Comedy,2
4FkEYUPr2gg,2018-02-05,211001,14708,528,2256,0.9653452349698084,0.010691892455485992,Comedy,9
4FkzLs7cLes,2018-01-16,43836,2242,27,350,0.988100484795064,0.007984305137330049,Science & Technology,3
4GZBn4_SfQQ,2018-03-12,308201,1246,8,73,0.9936204146730463,0.00023685841382733994,Science & Technology,11
4IG0freUoog,2018-03-28,156060,4477,186,321,0.9601115161912932,0.002056901191849289,Entertainment,2
4JGWxG-vE24,2017-12-29,847289,32668,1941,10029,0.943916322343899,0.011836575241741601,Entertainment,8
4KyWP5fWOEs,2018-02-09,401826,17852,168,2338,0.9906770255271921,0.0058184388267558595,Entertainment,7
4L-BPQVZYXM,2017-11-22,850117,36674,783,4596,0.9790960301145313,0.005406314660217358,Science & Technology,7
4L43VVORo5c,2018-01-19,55731,3585,78,523,0.9787059787059788,0.009384364177926109,Science & Technology,5
4Mayo-iUQDk,2018-04-02,847021,292,23,56,0.926984126984127,6.611406328768709e-05,Sports,6
4Qs8herYTqY,2018-04-06,246687,18770,114,1818,0.9939631434018217,0.007369662771041847,Howto & Style,10
4RYZEOZqWGk,2018-01-05,82052,1519,68,182,0.9571518588531821,0.002218105591576074,Entertainment,1
4SANXNco_y4,2017-11-16,50934,2793,104,295,0.9641007939247498,0.005791809007735501,Music,2
4ShwEAGIu-I,2018-03-07,753119,5799,482,1297,0.9232606272886483,0.001722171396552205,Sports,1
4Syrtc5aRBY,2018-03-04,231632,5471,232,1035,0.9593196563212344,0.004468294536160807,Education,1
4Uhe7pNqCFo,2018-01-27,795916,43792,543,2332,0.9877523401375888,0.0029299574326939024,Entertainment,5
4VDylTCCzOY,2018-05-24,225432,1879,288,398,0.8670973696354407,0.001765499130558217,Entertainment,10
4WnizmrnJlk,2017-12-02,1855536,21004,1295,2692,0.941925646889995,0.0014507937329159876,Comedy,5
4_eVvzrTV-I,2018-04-30,205295,2968,59,453,0.9805087545424512,0.0022065807740081346,Sports,8
4a1TUszkMfI,2018-03-15,144388,5487,99,813,0.9822771213748658,0.00563066182785273,Sports,11
4ay4S61byZo,2018-01-19,591351,106183,349,10146,0.9967239890361581,0.017157322808281375,Music,3
4bWmB3cscBs,2017-12-18,8059,307,18,30,0.9446153846153846,0.003722546221615585,News & Politics,3
4b_tL3mh-Gw,2018-01-04,165607,11390,163,1968,0.9858911105340604,0.011883555646802369,People & Blogs,6
4cXsgT3ZcL8,2018-01-18,838980,70069,1388,11743,0.9805757308591181,0.013996757968008772,Howto & Style,7
4ccN0eRaO7Y,2018-02-06,481171,3989,228,495,0.9459331278159829,0.0010287403023041704,Entertainment,8
4csQhMHvQWk,2018-03-24,490845,12471,180,581,0.9857718757410482,0.001183673053611629,Entertainment,8
4dpjhcQr0RM,2018-02-06,148257,20858,291,1205,0.9862404841836493,0.008127778115029983,Music,9
4eKYR_iL5eU,2018-02-01,179107,6343,144,307,0.9778017573608756,0.001714059193666356,Entertainment,2
4ftGS_6i7mM,2017-11-16,15232,84,11,20,0.8842105263157894,0.0013130252100840337,Sports,6
4gIR_q89g9Q,2018-02-17,216203,906,91,129,0.9087261785356068,0.0005966614709324108,Sports,2
4h-XOckOwN8,2017-12-18,1354019,38877,6092,6614,0.8645288976850719,0.004884717275016082,Entertainment,5
4hrrK3rXrR0,2018-03-27,247795,7529,80,456,0.9894861348403207,0.0018402308359732843,Entertainment,9
4ihuh6AKyY8,2018-03-01,78682,2813,930,936,0.7515362009083623,0.011895986375536972,Education,6
4kDklB6-69Q,2018-04-07,3169046,244273,3644,24727,0.9853015323676876,0.007802663640729734,Comedy,12
4nM94zdOh50,2018-03-10,361056,3493,211,389,0.9430345572354212,0.0010773951963130373,Entertainment,5
4nq0tT_SAD0,2018-05-10,2239777,125102,1091,10719,0.9913545125323908,0.0047857442950793765,Music,10
4nqJiBRNQuw,2018-05-03,938335,28367,708,2520,0.9756491831470335,0.0026856080184582266,Entertainment,10
4oYYVrEFWE8,2018-04-07,544143,13051,822,2222,0.9407482159590571,0.004083485407328588,Music,6
